0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.79867,0.74356,0.44311,0.34489,0.44489,0.48578,0.464,0.46489,0.64706,0.88235,0.27647,0.31176,0.5,0.5,0.5,0.5,0.496,0.548,0.5,0.5005,0.495,0.466,0.4975,0.5035,-0.225,0.009,0.999,0.24706,0.37059,0.61176,0.59412,0.5,0.5,0.5,0.5,0.88889,0.95689,0.32356,0.24222,0.44444,0.48711,0.46356,0.46489,0.46471,0.44706,0.63529,0.59412,0.50588,0.5,0.5,0.50588,0.374,0.49,0.6315,0.505,0.495,0.4605,0.5,0.5035,-0.216,0.015,1.042
0.79867,0.89022,0.38044,0.28933,0.44489,0.48711,0.464,0.46489,0.26471,0.32941,0.60588,0.58235,0.50588,0.5,0.5,0.50588,0.33,0.4915,0.6305,0.5085,0.495,0.4605,0.4975,0.5035,-0.177,0.074,1.008,0.45882,0.31765,0.29412,0.35882,0.5,0.5,0.5,0.5,0.53644,0.76,0.40267,0.29689,0.44133,0.48622,0.46311,0.46489,0.44118,0.35294,0.30588,0.35882,0.49412,0.5,0.5,0.50588,0.477,0.4845,0.501,0.5,0.505,0.464,0.5015,0.5035,-0.008,0.044,1.016
0.49244,0.68267,0.29733,0.22089,0.44089,0.48089,0.46267,0.46622,0.41765,0.30588,0.28824,0.37059,0.50588,0.5,0.5,0.49412,0.4925,0.476,0.5,0.5,0.505,0.4885,0.504,0.4965,-0.036,-0.01,0.991,0.63529,0.74118,0.71765,0.58824,0.5,0.5,0.5,0.5,0.46222,0.584,0.21289,0.15111,0.42356,0.48222,0.46489,0.45911,0.54118,0.7,0.67059,0.6,0.5,0.5,0.5,0.50588,0.5365,0.534,0.6815,0.607,0.5105,0.484,0.494,0.5055,-0.185,0.0,1.007
0.50889,0.69644,0.30444,0.19511,0.42267,0.48444,0.46444,0.45956,0.49412,0.69412,0.69412,0.58824,0.5,0.5,0.5,0.50588,0.5705,0.546,0.7735,0.6105,0.5105,0.4735,0.4945,0.505,-0.342,-0.038,0.949,0.78824,0.25882,0.65294,0.41765,0.5,0.5,0.5,0.5,0.61778,0.82667,0.40889,0.25378,0.43067,0.48489,0.46356,0.46489,0.95294,0.35294,0.5,0.48235,0.54118,0.5,0.49412,0.5,0.63,0.48,0.9965,0.4525,0.505,0.471,0.4995,0.5035,-0.491,-0.028,0.904
0.84178,0.70578,0.46356,0.21156,0.44489,0.49022,0.46267,0.46533,0.91765,0.27647,0.75294,0.42941,0.52941,0.51765,0.50588,0.49412,0.5375,0.4835,0.8725,0.4525,0.4955,0.447,0.5045,0.5035,-0.257,0.05,0.787,0.24118,0.67059,0.17647,0.81765,0.5,0.5,0.5,0.5,0.98533,0.54578,0.53244,0.212,0.44044,0.47644,0.46889,0.45511,0.27059,0.5,0.14706,0.71765,0.50588,0.5,0.49412,0.50588,0.4885,0.5615,0.4475,0.72,0.5045,0.513,0.4735,0.505,-0.222,0.035,1.041
0.97822,0.54489,0.41911,0.25378,0.43022,0.47689,0.46889,0.45556,0.51176,0.5,0.28824,0.5,0.5,0.5,0.5,0.50588,0.2995,0.7065,0.212,0.9935,0.5055,0.511,0.4745,0.505,-0.199,0.121,1.021,0.43529,0.74118,0.77059,0.74118,0.5,0.5,0.5,0.5,0.86711,0.70311,0.24089,0.35333,0.43733,0.47333,0.46444,0.45822,0.43529,0.68235,0.74118,0.62353,0.50588,0.5,0.46471,0.50588,0.3265,0.7205,0.5755,0.9695,0.5045,0.528,0.4965,0.5045,-0.376,-0.137,0.797
0.80311,0.88622,0.39911,0.46444,0.44356,0.47289,0.46533,0.46089,0.47647,0.97647,0.74118,0.77647,0.5,0.5,0.5,0.56471,0.378,0.597,0.5005,0.824,0.5025,0.529,0.4915,0.505,0.029,0.378,1.017,0.5,0.22353,0.51176,0.51765,0.5,0.5,0.5,0.5,0.69111,1.02178,0.53556,0.67067,0.45333,0.48356,0.464,0.46578,0.48824,0.45882,0.51765,0.5,0.50588,0.5,0.5,0.50588,0.484,0.501,0.61,0.541,0.494,0.476,0.498,0.495,-0.242,0.227,0.986
0.664,0.91333,0.54844,0.67911,0.45333,0.484,0.46356,0.46578,0.51176,0.22941,0.5,0.51765,0.50588,0.5,0.5,0.5,0.494,0.4885,0.577,0.545,0.494,0.4755,0.499,0.4965,-0.209,0.232,0.976,0.72353,0.6,0.50588,0.28824,0.5,0.5,0.5,0.5,0.69867,0.77689,0.55156,0.64,0.45289,0.48356,0.46311,0.46444,0.61765,0.58824,0.5,0.31765,0.5,0.5,0.5,0.50588,0.5375,0.495,0.605,0.4435,0.4945,0.477,0.502,0.5055,-0.258,0.202,0.979
0.80978,0.84444,0.55067,0.55067,0.45156,0.47822,0.46311,0.46267,0.74706,0.7,0.5,0.35294,0.49412,0.5,0.5,0.47059,0.5335,0.4855,0.6235,0.357,0.495,0.5055,0.5015,0.505,-0.204,0.142,0.899,0.54118,0.45882,0.27647,0.34706,0.5,0.5,0.5,0.5,0.98667,0.93289,0.504,0.38044,0.44356,0.47911,0.46,0.46311,0.6,0.51176,0.27059,0.41176,0.5,0.5,0.5,0.51176,0.507,0.4345,0.499,0.332,0.503,0.5,0.516,0.505,0.255,0.094,1.006
1.00533,0.93378,0.39867,0.32622,0.44444,0.47911,0.46,0.46311,0.51176,0.50588,0.29412,0.38235,0.50588,0.5,0.5,0.5,0.509,0.403,0.4675,0.2155,0.4975,0.5,0.516,0.5045,0.343,0.061,0.947,0.3,0.2,0.55294,0.68824,0.5,0.5,0.5,0.5,0.99867,0.93511,0.28,0.26489,0.44356,0.47822,0.45956,0.46356,0.47647,0.50588,0.51176,0.58824,0.49412,0.5,0.5,0.50588,0.4725,0.109,0.486,0.367,0.5025,0.504,0.519,0.5045,0.265,0.062,0.972
0.97778,0.91333,0.30889,0.35422,0.44444,0.47822,0.46,0.46444,0.46471,0.27647,0.56471,0.7,0.5,0.5,0.5,0.50588,0.368,0.167,0.476,0.4045,0.495,0.504,0.516,0.505,0.338,0.11,0.98,0.31176,0.38824,0.71176,0.58824,0.5,0.5,0.5,0.5,0.84711,0.704,0.42267,0.50356,0.44489,0.47867,0.46,0.46489,0.17647,0.31176,0.72941,0.6,0.50588,0.5,0.5,0.50588,0.3055,0.2115,0.4285,0.3815,0.495,0.5025,0.516,0.5025,0.299,0.054,1.008
0.71956,0.65511,0.53067,0.54889,0.44489,0.47867,0.46,0.46711,0.3,0.5,0.7,0.60588,0.5,0.5,0.5,0.50588,0.347,0.1665,0.4235,0.381,0.495,0.5025,0.516,0.495,0.422,0.085,0.961,0.5,0.68235,0.51765,0.27059,0.5,0.5,0.5,0.5,0.568,0.61556,0.65289,0.588,0.44444,0.47867,0.46,0.46667,0.5,0.50588,0.5,0.35294,0.5,0.5,0.5,0.5,0.4125,0.309,0.4655,0.079,0.495,0.502,0.516,0.4955,0.429,0.048,0.96
0.552,0.61956,0.66133,0.57156,0.44444,0.47867,0.46,0.46667,0.5,0.51765,0.53529,0.45294,0.5,0.5,0.5,0.5,0.4355,0.4415,0.471,0.0045,0.4975,0.502,0.516,0.4955,0.423,0.009,0.904,0.62941,0.65882,0.18824,0.21176,0.5,0.5,0.5,0.5,0.54933,0.76933,0.59556,0.38267,0.44489,0.47867,0.46,0.46667,0.65294,0.70588,0.22941,0.20588,0.50588,0.5,0.5,0.5,0.4865,0.4395,0.34,0.085,0.495,0.502,0.517,0.4955,0.523,0.095,0.903
0.64356,0.88578,0.464,0.24356,0.44533,0.47911,0.46,0.46622,0.68235,0.81765,0.21765,0.28824,0.50588,0.5,0.5,0.5,0.4565,0.386,0.2095,0.0755,0.4955,0.5005,0.5165,0.4955,0.617,0.084,0.782,0.44706,0.47059,0.32353,0.9,0.5,0.5,0.5,0.5,0.76444,0.97911,0.26933,0.12533,0.44578,0.47911,0.464,0.46533,0.51176,0.45882,0.49412,0.92353,0.50588,0.5,0.5,0.50588,0.362,0.397,0.0245,0.4945,0.4965,0.5005,0.4975,0.503,0.587,0.188,0.863
0.76489,0.90756,0.26978,0.32844,0.44578,0.48,0.464,0.46578,0.50588,0.36471,0.5,0.87647,0.50588,0.5,0.5,0.5,0.3135,0.4655,0.0,0.5,0.4965,0.497,0.4975,0.497,0.514,0.218,0.855,0.35294,0.42353,0.65294,0.40588,0.5,0.5,0.5,0.5,0.76533,0.80711,0.26978,0.52756,0.44578,0.48,0.46356,0.46578,0.50588,0.42353,0.5,0.41176,0.50588,0.5,0.5,0.50588,0.1365,0.4935,0.238,0.5,0.496,0.4965,0.5,0.4965,0.402,0.168,0.913
0.76444,0.78667,0.33556,0.49244,0.44533,0.48,0.46356,0.46489,0.5,0.48235,0.62353,0.45882,0.5,0.5,0.5,0.50588,0.141,0.487,0.2995,0.4615,0.4955,0.495,0.5,0.5035,0.492,0.155,0.911,0.5,0.63529,0.38235,0.32353,0.5,0.5,0.5,0.5,0.76267,0.78756,0.40311,0.412,0.44489,0.48,0.46311,0.46489,0.50588,0.65294,0.5,0.34706,0.5,0.5,0.5,0.5,0.158,0.4915,0.2265,0.2985,0.496,0.4965,0.502,0.505,0.542,0.11,0.898
0.76311,0.86222,0.36667,0.31911,0.44533,0.48,0.46311,0.46444,0.49412,0.63529,0.45294,0.3,0.50588,0.5,0.5,0.5,0.167,0.4875,0.113,0.3105,0.4965,0.4965,0.502,0.505,0.481,0.117,0.909,0.50588,0.28235,0.40588,0.45294,0.5,0.5,0.5,0.5,0.984,0.97956,0.22533,0.22133,0.44489,0.47911,0.46267,0.46533,0.75294,0.5,0.48824,0.5,0.50588,0.5,0.5,0.50588,0.5,0.3075,0.377,0.2025,0.495,0.501,0.502,0.502,0.454,0.079,0.893
0.99778,0.97956,0.19778,0.20711,0.44489,0.47911,0.46311,0.46489,0.50588,0.50588,0.5,0.5,0.50588,0.5,0.5,0.5,0.5,0.138,0.2785,0.155,0.495,0.501,0.502,0.502,0.543,0.08,0.916,0.45882,0.12353,0.54706,0.70588,0.5,0.5,0.5,0.5,0.99956,0.97956,0.15067,0.19467,0.44533,0.47911,0.46356,0.46489,0.50588,0.5,0.5,0.65294,0.50588,0.5,0.5,0.50588,0.5,0.14,0.309,0.4035,0.495,0.501,0.5,0.503,0.513,0.075,0.938
1.0,0.93156,0.152,0.29467,0.44489,0.47867,0.46311,0.46489,0.50588,0.28235,0.52941,0.72941,0.50588,0.5,0.5,0.5,0.5,0.1875,0.4165,0.4315,0.495,0.502,0.5015,0.505,0.41,0.121,0.877,0.45294,0.58235,0.55294,0.26471,0.5,0.5,0.5,0.5,1.0,0.77467,0.19289,0.404,0.44489,0.47867,0.46267,0.46444,0.5,0.50588,0.52941,0.38235,0.5,0.5,0.5,0.50588,0.5,0.2855,0.4405,0.125,0.495,0.502,0.5035,0.504,0.457,0.094,0.901
